,childHeight
0,73.2
1,69.2
2,69.0
3,69.0
4,73.5
5,72.5
6,65.5
7,65.5
8,71.0
9,68.0
10,70.5
11,68.5
12,67.0
13,64.5
14,63.0
15,72.0
16,69.0
17,68.0
18,66.5
19,62.5
20,62.5
21,69.5
22,76.5
23,74.0
24,73.0
25,73.0
26,70.5
27,64.0
28,70.5
29,68.0
30,66.0
31,66.0
32,65.5
33,74.0
34,70.0
35,68.0
36,67.0
37,67.0
38,66.0
39,63.5
40,63.0
41,65.0
42,71.0
43,62.0
44,68.0
45,67.0
46,71.0
47,70.5
48,66.7
49,72.0
50,70.5
51,70.2
52,70.2
53,69.2
54,68.7
55,66.5
56,64.5
57,63.5
58,74.0
59,73.0
60,71.5
61,62.5
62,66.5
63,62.3
64,66.0
65,64.5
66,64.0
67,62.7
68,73.2
69,73.0
70,72.7
71,70.0
72,69.0
73,68.5
74,68.0
75,66.0
76,73.0
77,68.5
78,68.0
79,73.0
80,71.0
81,67.0
82,74.2
83,70.5
84,69.5
85,66.0
86,65.5
87,65.0
88,65.0
89,65.5
90,66.0
91,63.0
92,70.5
93,70.5
94,69.0
95,65.0
96,63.0
97,69.0
98,67.0
99,63.0
100,73.0
101,67.0
102,70.5
103,70.0
104,66.5
105,63.0
106,67.5
107,67.2
108,66.7
109,64.0
110,71.0
111,70.0
112,70.0
113,66.0
114,65.0
115,65.0
116,74.0
117,72.0
118,69.0
119,67.5
120,63.5
121,72.0
122,71.5
123,71.5
124,70.0
125,68.0
126,65.7
127,78.0
128,74.0
129,73.0
130,72.0
131,67.0
132,73.2
133,73.0
134,69.0
135,67.0
136,70.0
137,67.0
138,67.0
139,66.5
140,70.0
141,69.0
142,68.5
143,66.0
144,64.5
145,63.0
146,71.0
147,67.0
148,76.0
149,72.0
150,71.0
151,66.0
152,66.0
153,70.5
154,72.0
155,72.0
156,71.0
157,69.0
158,66.0
159,65.0
160,73.0
161,65.2
162,68.5
163,67.7
164,68.0
165,68.0
166,62.0
167,68.0
168,68.0
169,67.5
170,66.5
171,66.5
172,66.0
173,65.5
174,65.0
175,72.0
176,71.0
177,70.5
178,67.0
179,68.0
180,68.0
181,68.0
182,72.0
183,71.0
184,70.0
185,66.0
186,64.5
187,64.5
188,62.0
189,73.0
190,62.0
191,67.5
192,64.5
193,71.0
194,67.0
195,66.0
196,65.0
197,63.5
198,71.0
199,70.0
200,70.0
201,64.0
202,65.0
203,65.0
204,64.0
205,63.0
206,63.0
207,71.0
208,71.0
209,70.0
210,63.5
211,71.0
212,70.0
213,64.5
214,62.5
215,61.5
216,72.0
217,70.5
218,70.5
219,64.5
220,60.0
221,70.0
222,64.0
223,64.0
224,64.0
225,62.5
226,70.5
227,70.0
228,69.0
229,69.0
230,66.0
231,64.5
232,64.0
233,62.0
234,71.5
235,69.0
236,71.0
237,70.0
238,69.0
239,69.0
240,70.0
241,68.7
242,68.0
243,66.0
244,64.0
245,62.0
246,75.0
247,70.0
248,69.0
249,66.0
250,64.0
251,60.0
252,67.5
253,73.0
254,72.0
255,72.0
256,66.5
257,69.2
258,67.2
259,66.5
260,66.0
261,66.0
262,64.2
263,63.7
264,72.0
265,70.2
266,69.0
267,68.5
268,68.0
269,65.0
270,61.5
271,61.0
272,61.0
273,73.0
274,72.0
275,70.5
276,65.0
277,65.0
278,64.5
279,63.0
280,62.0
281,67.0
282,65.0
283,64.5
284,62.5
285,62.5
286,70.0
287,70.0
288,67.0
289,65.0
290,65.0
291,63.0
292,79.0
293,75.0
294,71.0
295,69.0
296,67.0
297,65.7
298,62.0
299,73.0
300,72.5
301,65.0
302,69.0
303,69.0
304,72.0
305,70.0
306,68.7
307,66.5
308,65.5
309,64.7
310,64.5
311,70.7
312,70.0
313,68.0
314,67.0
315,66.0
316,65.0
317,67.0
318,70.0
319,68.0
320,66.7
321,65.5
322,72.0
323,70.0
324,62.5
325,61.2
326,60.1
327,74.0
328,69.5
329,69.0
330,68.0
331,68.0
332,68.0
333,65.5
334,65.0
335,60.0
336,68.0
337,65.0
338,64.0
339,62.0
340,71.0
341,70.0
342,70.0
343,70.0
344,69.5
345,68.5
346,69.0
347,65.0
348,64.0
349,70.0
350,67.0
351,65.5
352,63.7
353,63.2
354,62.5
355,62.2
356,61.0
357,70.0
358,68.5
359,65.5
360,63.5
361,72.5
362,69.0
363,67.0
364,64.5
365,64.0
366,71.0
367,67.5
368,67.5
369,63.5
370,68.0
371,67.0
372,63.7
373,62.0
374,70.0
375,66.5
376,62.0
377,61.0
378,72.0
379,70.0
380,69.5
381,69.5
382,68.0
383,65.0
384,64.0
385,63.0
386,70.7
387,69.7
388,69.2
389,65.2
390,64.0
391,63.5
392,63.2
393,72.0
394,72.0
395,60.0
396,71.2
397,67.0
398,67.0
399,64.5
400,65.0
401,63.0
402,65.0
403,65.0
404,71.5
405,64.5
406,63.0
407,72.0
408,66.0
409,66.0
410,65.0
411,63.0
412,75.0
413,71.0
414,70.0
415,66.0
416,66.0
417,65.5
418,65.0
419,65.0
420,64.0
421,64.0
422,64.0
423,73.0
424,72.0
425,71.7
426,71.5
427,65.5
428,65.0
429,62.7
430,62.5
431,71.2
432,71.0
433,70.0
434,75.0
435,74.0
436,72.0
437,68.5
438,70.0
439,68.5
440,68.0
441,65.0
442,63.0
443,62.5
444,73.0
445,71.0
446,70.5
447,70.5
448,67.0
449,66.0
450,61.0
451,70.5
452,67.5
453,64.5
454,64.0
455,71.0
456,68.5
457,67.5
458,66.0
459,63.0
460,63.0
461,71.0
462,71.0
463,70.5
464,70.5
465,66.5
466,65.5
467,64.5
468,73.0
469,72.0
470,69.0
471,69.0
472,66.5
473,65.5
474,65.5
475,65.0
476,64.0
477,70.0
478,68.5
479,67.0
480,65.0
481,64.0
482,63.5
483,61.0
484,69.7
485,68.0
486,60.0
487,65.2
488,64.5
489,63.7
490,60.0
491,71.7
492,66.5
493,65.0
494,63.5
495,65.5
496,69.0
497,67.5
498,63.5
499,72.0
500,73.0
501,70.0
502,70.0
503,64.0
504,66.0
505,62.0
506,70.5
507,67.0
508,66.0
509,65.0
510,63.0
511,62.0
512,61.0
513,70.5
514,63.7
515,63.0
516,62.5
517,73.0
518,72.0
519,69.0
520,73.0
521,71.0
522,71.0
523,69.0
524,63.0
525,72.0
526,70.0
527,67.8
528,65.2
529,64.7
530,64.5
531,63.5
532,63.5
533,62.5
534,62.0
535,61.5
536,71.0
537,70.0
538,70.0
539,69.0
540,63.5
541,62.5
542,62.5
543,62.0
544,72.0
545,68.0
546,66.0
547,66.0
548,70.0
549,69.5
550,69.0
551,63.0
552,62.0
553,68.0
554,68.0
555,67.5
556,64.0
557,63.0
558,63.0
559,63.5
560,62.0
561,62.0
562,70.5
563,68.0
564,62.5
565,69.0
566,66.0
567,61.7
568,60.5
569,69.5
570,71.0
571,61.7
572,73.0
573,71.0
574,67.0
575,70.0
576,69.0
577,69.0
578,68.7
579,68.5
580,68.5
581,68.0
582,68.0
583,68.0
584,66.2
585,63.2
586,67.5
587,66.0
588,66.0
589,64.0
590,71.7
591,71.5
592,70.7
593,65.5
594,66.5
595,65.2
596,61.5
597,72.0
598,72.0
599,68.0
600,66.0
601,69.2
602,68.0
603,66.0
604,66.0
605,62.0
606,61.5
607,61.0
608,60.0
609,72.0
610,70.5
611,68.7
612,68.5
613,67.7
614,64.0
615,63.5
616,63.0
617,71.0
618,68.0
619,68.0
620,67.0
621,65.0
622,64.0
