,father,mother,midparentHeight,childNum,female
0,78.5,67.0,75.43,1,0
1,78.5,67.0,75.43,2,1
2,78.5,67.0,75.43,3,1
3,78.5,67.0,75.43,4,1
4,75.5,66.5,73.66,1,0
5,75.5,66.5,73.66,2,0
6,75.5,66.5,73.66,3,1
7,75.5,66.5,73.66,4,1
8,75.0,64.0,72.06,1,0
9,75.0,64.0,72.06,2,1
10,75.0,64.0,72.06,1,0
11,75.0,64.0,72.06,2,0
12,75.0,64.0,72.06,3,1
13,75.0,64.0,72.06,4,1
14,75.0,64.0,72.06,5,1
15,75.0,58.5,69.09,1,0
16,75.0,58.5,69.09,2,0
17,75.0,58.5,69.09,3,0
18,75.0,58.5,69.09,4,1
19,75.0,58.5,69.09,5,1
20,75.0,58.5,69.09,6,1
21,74.0,68.0,73.72,1,1
22,74.0,68.0,73.72,1,0
23,74.0,68.0,73.72,2,0
24,74.0,68.0,73.72,3,0
25,74.0,68.0,73.72,4,0
26,74.0,68.0,73.72,5,1
27,74.0,68.0,73.72,6,1
28,74.0,66.5,72.91,1,1
29,74.0,66.5,72.91,2,1
30,74.0,66.5,72.91,3,1
31,74.5,66.0,72.89,1,1
32,74.0,65.5,72.37,1,1
33,74.0,62.0,70.48,1,0
34,74.0,62.0,70.48,2,0
35,74.0,62.0,70.48,3,1
36,74.0,62.0,70.48,4,1
37,74.0,62.0,70.48,5,1
38,74.0,62.0,70.48,6,1
39,74.0,62.0,70.48,7,1
40,74.0,62.0,70.48,8,1
41,74.0,61.0,69.94,1,1
42,73.0,67.0,72.68,1,0
43,73.0,67.0,72.68,2,1
44,73.0,67.0,72.68,1,0
45,73.0,67.0,72.68,2,0
46,73.0,66.5,72.41,1,0
47,73.0,66.5,72.41,2,0
48,73.0,66.5,72.41,3,1
49,73.0,65.0,71.6,1,0
50,73.0,65.0,71.6,2,0
51,73.0,65.0,71.6,3,0
52,73.0,65.0,71.6,4,0
53,73.0,65.0,71.6,5,0
54,73.0,65.0,71.6,6,1
55,73.0,65.0,71.6,7,1
56,73.0,65.0,71.6,8,1
57,73.0,65.0,71.6,9,1
58,73.0,64.5,71.33000000000001,1,0
59,73.0,64.5,71.33000000000001,2,0
60,73.0,64.5,71.33000000000001,3,0
61,73.0,64.5,71.33000000000001,4,0
62,73.0,64.5,71.33000000000001,5,1
63,73.0,64.5,71.33000000000001,6,1
64,73.0,64.0,71.06,1,1
65,73.0,64.0,71.06,2,1
66,73.0,64.0,71.06,3,1
67,73.2,63.0,70.62,1,1
68,72.7,69.0,73.61000000000001,1,0
69,72.7,69.0,73.61000000000001,2,0
70,72.7,69.0,73.61000000000001,3,0
71,72.7,69.0,73.61000000000001,4,1
72,72.7,69.0,73.61000000000001,5,1
73,72.7,69.0,73.61000000000001,6,1
74,72.7,69.0,73.61000000000001,7,1
75,72.7,69.0,73.61000000000001,8,1
76,72.0,68.0,72.72,1,0
77,72.0,68.0,72.72,2,1
78,72.0,68.0,72.72,3,1
79,72.0,67.0,72.18,1,0
80,72.0,67.0,72.18,2,0
81,72.0,67.0,72.18,3,1
82,72.0,65.0,71.1,1,0
83,72.0,65.0,71.1,2,0
84,72.0,65.0,71.1,3,0
85,72.0,65.0,71.1,4,1
86,72.0,65.0,71.1,5,1
87,72.0,65.0,71.1,6,1
88,72.0,65.0,71.1,7,1
89,72.0,65.5,71.37,1,1
90,72.0,64.0,70.56,1,1
91,72.0,64.0,70.56,2,1
92,72.0,63.0,70.02000000000001,1,0
93,72.0,63.0,70.02000000000001,2,0
94,72.0,63.0,70.02000000000001,3,0
95,72.0,63.0,70.02000000000001,4,1
96,72.0,63.0,70.02000000000001,5,1
97,72.0,63.0,70.02000000000001,1,0
98,72.0,63.0,70.02000000000001,2,0
99,72.0,63.0,70.02000000000001,3,1
100,72.0,63.0,70.02000000000001,1,0
101,72.0,63.0,70.02000000000001,2,0
102,72.0,63.0,70.02000000000001,3,1
103,72.0,63.0,70.02000000000001,4,1
104,72.0,63.0,70.02000000000001,5,1
105,72.0,63.0,70.02000000000001,6,1
